Date,tmr,microrev,mridv3l,mridv3s
04/01/2010,40000,40000,80000,80000
05/01/2010,40000,40000,80000,80000
06/01/2010,40000,40000,80000,80000
07/01/2010,40000,40000,80000,80000
08/01/2010,40000,40000,80000,80000
11/01/2010,40000,40000,80000,80000
12/01/2010,40000,40000,80000,80000
13/01/2010,40000,40000,80000,80000
14/01/2010,40000,40000,80000,80000
15/01/2010,40000,40000,80000,80000
19/01/2010,40000,40000,80000,80000
20/01/2010,40000,40000,80000,80000
21/01/2010,40000,40000,80000,80000
22/01/2010,40000,40000,80000,80000
25/01/2010,40000,40000,80000,80000
26/01/2010,40000,40000,80000,80000
27/01/2010,40000,40000,80000,80000
28/01/2010,40000,40000,80000,80000
29/01/2010,40000,40000,80000,80000
01/02/2010,40000,40000,80000,80000
02/02/2010,40000,40000,79769,80000
03/02/2010,40000,40000,79769,80000
04/02/2010,40000,40000,79534,80000
05/02/2010,40000,40000,80529,80000
08/02/2010,40000,40000,80462,80000
09/02/2010,40000,40000,80426,80000
10/02/2010,40000,40000,80383,80000
11/02/2010,40000,40000,80383,80000
12/02/2010,40000,40000,80341,80000
16/02/2010,40000,40000,80341,80000
17/02/2010,40000,40000,80341,80000
18/02/2010,40000,40000,80341,80000
19/02/2010,40000,40000,80272,80000
22/02/2010,40000,40000,80272,80000
23/02/2010,40000,40000,80118,80000
24/02/2010,40000,40000,80166,80000
25/02/2010,40000,40000,80799,80000
26/02/2010,40000,40000,80528,80000
01/03/2010,40000,40000,80530,80000
02/03/2010,40000,40000,80530,80000
03/03/2010,40000,40000,80202,80000
04/03/2010,40000,40000,80202,80000
05/03/2010,40000,40000,80202,80000
08/03/2010,40000,40000,80202,80000
09/03/2010,40000,40000,80202,80000
10/03/2010,40000,40000,80202,80000
11/03/2010,40000,40000,80202,80000
12/03/2010,40000,40000,80395,80000
15/03/2010,40000,40000,80395,80000
16/03/2010,40000,40000,80395,80000
17/03/2010,40000,39976,80395,80000
18/03/2010,40000,39238,80395,80000
19/03/2010,40000,38251,80221,80000
22/03/2010,40000,38251,81007,80000
23/03/2010,40000,37357,81045,80000
24/03/2010,40000,37281,81045,80000
25/03/2010,40000,37175,80464,80000
26/03/2010,40000,37564,80604,80000
29/03/2010,40000,37564,80604,80000
30/03/2010,40000,37564,80604,80000
31/03/2010,40000,37794,80604,80000
01/04/2010,40000,37794,80208,80000
05/04/2010,40000,37794,80568,80000
06/04/2010,40000,38050,80568,80000
07/04/2010,40000,38050,80319,80000
08/04/2010,40000,38733,80451,80000
09/04/2010,40000,38429,80451,80000
12/04/2010,40000,38657,80451,80000
13/04/2010,40000,36344,80451,80000
14/04/2010,40000,36344,80451,80000
15/04/2010,40000,36344,80451,80000
16/04/2010,40000,37027,80494,80000
19/04/2010,40000,37154,80813,80000
20/04/2010,40000,37154,80717,80000
21/04/2010,40000,37380,80742,80000
22/04/2010,40000,37502,80742,80000
23/04/2010,40000,37502,80715,80000
26/04/2010,40000,35648,80673,80000
27/04/2010,40000,34727,80423,80000
28/04/2010,40000,34727,80386,80000
29/04/2010,40000,34782,80358,80000
30/04/2010,40000,35331,79832,80000
03/05/2010,40000,35702,79851,80000
04/05/2010,40000,37086,80008,80000
05/05/2010,40000,37396,81402,80000
06/05/2010,40000,37762,80839,80000
07/05/2010,40000,37762,81359,80000
10/05/2010,40000,37762,81359,80000
11/05/2010,40000,37762,81359,80000
12/05/2010,40000,37762,81359,80000
13/05/2010,40000,37744,81359,80000
14/05/2010,40000,37684,81411,80000
17/05/2010,40000,38076,81411,80000
18/05/2010,40000,38089,81297,80000
19/05/2010,40000,38095,81297,80000
20/05/2010,40000,38021,81104,80000
21/05/2010,40000,38021,82219,80000
24/05/2010,40000,38021,82219,80000
25/05/2010,40000,38021,82700,80000
26/05/2010,40000,38021,82700,80000
27/05/2010,40000,38021,82700,79396
28/05/2010,40000,38021,82700,79396
01/06/2010,40000,38008,81999,79396
02/06/2010,40000,38008,81999,79396
03/06/2010,40000,38008,81999,79506
04/06/2010,40000,37277,81999,81069
07/06/2010,40000,37277,81173,81282
08/06/2010,40000,37277,82820,81282
09/06/2010,40000,37277,82820,81651
10/06/2010,40000,37277,82820,81651
11/06/2010,40000,37263,82820,81474
14/06/2010,40000,37263,82820,82166
15/06/2010,40000,37263,82820,82213
16/06/2010,40000,37358,82820,81918
17/06/2010,40000,37337,82820,81729
18/06/2010,40000,36701,82820,81729
21/06/2010,40000,36562,82820,81729
22/06/2010,40000,35471,82756,81729
