Trade ID,System,Action,Ticker,Entry date, Entry price , Qty ,Commission,Exit date,Exit price,PL
917,MRIDV3L,L,ARCB,01/04/2022,78.09,17,2.008712,01/04/2022,75,-54.54
918,MRIDV3S,S,CALM,01/04/2022,57,23,2.009676,01/04/2022,58.7,-41.11
919,TMR,L,CTIC,01/04/2022,4.29,410,4.163065,05/04/2022,4.67,151.64
920,MRIDV3S,S,CUTR,01/04/2022,71.2,19,2.009369,01/04/2022,72.31,-23.1
921,MRIDV3L,L,HZO,01/04/2022,39.05,34,2.011165,01/04/2022,38.9,-7.11
922,MRIDV3S,S,IRTC,01/04/2022,166.98,8,2.007853,01/04/2022,162.67,32.47
923,TMR,L,MATX,01/04/2022,117,15,2.01,06/04/2022,91.93,-378.06
924,MRIDV3S,S,NFE,01/04/2022,44.01,30,2.010634,01/04/2022,44.92,-29.31
925,MRIDV3L,L,SAIA,01/04/2022,235.5,6,2.007932,01/04/2022,233.72,-12.69
926,MRIDV3L,L,ACIW,04/04/2022,29.31,45,2.012648,04/04/2022,29.62,11.94
927,TMR,L,ATSG,04/04/2022,31.6,56,2.02,07/04/2022,29.03,-145.94
928,WPUL,L,CVS,04/04/2022,100.49,35,2.021766,02/05/2022,96.45,-143.42
929,WPUL,L,HCA,04/04/2022,250.38,14,2.016708,25/04/2022,208.52,-588.06
930,MRIDV3L,L,JBHT,04/04/2022,176.02,7,2.007234,04/04/2022,177.13,5.76
931,MRIDV3S,S,MMI,04/04/2022,57.42,23,2.009725,04/04/2022,55.97,31.34
932,WPUL,L,MTB,04/04/2022,165,21,2.020914,04/05/2022,169.78,98.36
933,MRIDV3S,S,NFE,04/04/2022,48.71,27,2.010217,04/04/2022,48.29,9.33
934,MRIDV3S,S,NVCR,04/04/2022,89.98,15,2.008833,04/04/2022,89.9,-0.81
935,TMR,L,SEAS,04/04/2022,69.69,25,2.01,07/04/2022,63.96,-145.26
936,MRIDV3L,L,SNDR,04/04/2022,22.7,58,2.014269,04/04/2022,22.75,0.89
937,MRIDV3S,S,TR,04/04/2022,38.07,35,2.011345,04/04/2022,36.98,36.14
938,MRIDV3L,L,ACIW,05/04/2022,28.59,46,2.012722,05/04/2022,28.74,4.89
939,MRIDV3S,S,BE,05/04/2022,27.01,49,2.01312,05/04/2022,25.07,93.05
940,TMR,L,GBX,05/04/2022,47.95,37,2.013052,08/04/2022,43.68,-160
941,MRIDV3L,L,HUBG,05/04/2022,66.42,20,2.009308,05/04/2022,65.76,-15.21
942,TMR,L,IMTE,05/04/2022,25.3,35,2.006919,08/04/2022,13.27,-423.06
943,MRIDV3L,L,JBHT,05/04/2022,171.55,8,2.008102,05/04/2022,173.08,10.23
944,MRIDV3L,L,KNX,05/04/2022,45.26,29,2.010488,05/04/2022,45.42,2.63
945,MRIDV3L,L,R,05/04/2022,70.92,19,2.009032,05/04/2022,67.72,-62.81
946,MRIDV3L,L,SNDR,05/04/2022,22.16,60,2.014633,05/04/2022,22.33,8.19
947,TMR,L,TECK,05/04/2022,38.94,45,2.01502,08/04/2022,39.96,43.88
948,MRIDV3L,L,THC,05/04/2022,80.42,16,2.00861,05/04/2022,80.02,-8.41
949,MRIDV3S,S,TWTR,05/04/2022,53.8,25,2.01011,05/04/2022,50.98,68.49
950,MRIDV3L,L,XPO,05/04/2022,67.17,20,2.009219,05/04/2022,64.89,-47.61
951,MRIDV3L,L,CSTL,06/04/2022,36.33,36,2.01,06/04/2022,35.71,-24.33
952,MRIDV3S,S,HURN,06/04/2022,49.57,27,2.01,06/04/2022,49.3,5.28
953,MRIDV3L,L,ICHR,06/04/2022,30.93,43,2.01,06/04/2022,30.39,-25.23
954,TMR,L,IRTC,06/04/2022,150.22,12,2.010827,08/04/2022,151.42,12.39
955,MRIDV3L,L,LSCC,06/04/2022,52.92,25,2.01,06/04/2022,52.47,-13.26
956,MRIDV3L,L,MPWR,06/04/2022,425.71,3,2.01,06/04/2022,431.25,14.61
957,MRIDV3L,L,MXL,06/04/2022,50.82,26,2.01,06/04/2022,47.94,-76.89
958,MRIDV3L,L,NVAX,06/04/2022,61.36,22,2.01,06/04/2022,62.44,21.75
959,MRIDV3L,L,ON,06/04/2022,53.95,24,2.01,06/04/2022,53.78,-6.09
960,MRIDV3L,L,PI,06/04/2022,54.97,24,1,06/04/2022,53.24,-42.52
961,TMR,L,PSTG,06/04/2022,32.32,54,2.015511,11/04/2022,30.83,-82.48
962,MRIDV3L,L,SAVA,06/04/2022,28.81,46,2.01,06/04/2022,29.2,15.93
963,MRIDV3L,L,SYNA,06/04/2022,174.39,8,2.01,06/04/2022,172.62,-16.17
964,MRIDV3S,S,AVAV,07/04/2022,103.22,13,2.01,07/04/2022,104.15,-14.1
965,MRIDV3S,S,IPI,07/04/2022,97.26,14,2.01,07/04/2022,101.78,-65.29
